stdDay,Susceptible,Alpha_Infected,Alpha_Recovered,Alpha_Dead,Alpha_alpha,Alpha_beta,Alpha_gamma,Delta_Infected,Delta_Recovered,Delta_Dead,Delta_alpha,Delta_beta,Delta_gamma
2021-04-28,1438511,39.349999999999994,163.01000000000002,1.67,0.06312915984051161,0.0264294790343073,0.0,3.56,0.33999999999999997,0.02,0.0900374207946405,0.022471910112359553,0.0
2021-04-29,1438503,40.78999999999999,164.05,1.67,0.03045043215030465,0.07011522431968654,0.0,3.8000000000000003,0.42,0.02,0.042175657976601916,0.05789473684210527,0.0
2021-04-30,1438499,39.16999999999999,166.91000000000003,1.67,0.031709894848459756,0.026550931835588265,0.0,3.74,0.64,0.02,0.04285239196874826,0.02139037433155079,0.0
2021-05-01,1438495,39.370000000000005,167.95000000000002,1.67,0.11830835995395778,0.08585217170434328,0.0,3.8200000000000003,0.72,0.02,0.1573315362738496,0.06806282722513089,0.0
2021-05-02,1438480,40.640000000000015,171.33,1.67,0.03820413961127821,0.0703740157480318,0.0,4.16,0.98,0.02,0.048158071768062874,0.05288461538461538,0.0
2021-05-03,1438475,39.329999999999984,174.19000000000003,1.67,0.03158142141970483,0.026442918891431286,0.0,4.140000000000001,1.2,0.02,0.0387127101273801,0.019323671497584554,0.0
2021-05-04,1438471,39.53,175.23000000000002,1.67,0.06284344843787963,0.11181381229445958,0.0,4.220000000000001,1.28,0.02,0.07595785099371292,0.08056872037914693,0.0
2021-05-05,1438463,37.59,179.65,1.67,0.0660871330836775,0.06225059856344781,0.0,4.199999999999999,1.62,0.02,0.07631997949663404,0.04285714285714285,0.0
2021-05-06,1438455,37.73000000000002,181.99,1.67,0.17283597972879172,0.11025708984892645,0.0,4.34,1.8,0.02,0.19387844552303596,0.07373271889400923,0.0
2021-05-07,1438434,40.08000000000001,186.15,1.67,0.038739168793945414,0.097305389221557,0.0,4.859999999999999,2.12,0.02,0.041223042221195626,0.061728395061728364,0.0
2021-05-08,1438429,37.72999999999999,190.05,1.67,0.049382601081910345,0.05512854492446364,0.0,4.76,2.42,0.02,0.05050706258662176,0.033613445378151294,0.0
2021-05-09,1438423,37.50999999999999,192.13000000000002,1.67,0.06970165290540598,0.12396694214875975,0.0,4.84,2.58,0.02,0.05588149758795479,0.12396694214876035,0.0
2021-05-10,1438414,35.47000000000003,196.78,1.67,0.1965623801657977,0.05243868057513426,0.0,4.51,3.18,0.02,0.15992203435616298,0.05321507760532146,0.0
2021-05-11,1438390,40.56999999999999,198.64000000000001,1.67,0.15753435114698727,0.091693369484841,0.0,4.99,3.42,0.02,0.13249606715568943,0.09619238476953908,0.0
2021-05-12,1438368,43.22999999999999,202.36,1.67,0.15456346259175982,0.05736756881795028,0.0,5.17,3.9,0.02,0.13369796213916713,0.061895551257253524,0.0
2021-05-13,1438345,47.420000000000016,204.84,1.67,0.06739106473914887,0.026149304091100986,0.0,5.539999999999999,4.220000000000001,0.02,0.059672929601589215,0.02888086642599281,0.0
2021-05-14,1438334,49.370000000000005,206.08,1.67,0.06472976969177822,0.025116467490378956,0.0,5.709999999999999,4.380000000000001,0.02,0.05789677027024141,0.028021015761821394,0.0
2021-05-15,1438323,51.31999999999999,207.32000000000002,1.67,0.07925363915775152,0.09060795011691361,0.0,5.879999999999999,4.540000000000001,0.02,0.07155694513680169,0.10204081632653057,0.0
2021-05-16,1438309,50.72999999999999,211.97000000000003,1.67,0.15462544209285317,0.03055391287206748,0.0,5.699999999999999,5.140000000000001,0.02,0.14236204496135102,0.03508771929824565,0.0
2021-05-17,1438282,57.00999999999999,213.52,1.67,0.05605725781652134,0.021750570075425527,0.0,6.31,5.340000000000001,0.02,0.052393424801134736,0.02535657686212364,0.0
2021-05-18,1438271,58.95999999999998,214.76000000000002,1.67,0.01971042747017159,0.0420624151967434,0.0,6.4799999999999995,5.500000000000001,0.02,0.018552471322498668,0.04938271604938262,0.0
2021-05-19,1438267,57.640000000000015,217.24,1.67,0.07560700266704798,0.043025676613463175,0.0,6.279999999999999,5.82,0.02,0.07178762849322393,0.050955414012738905,0.0
2021-05-20,1438252,59.50999999999996,219.72000000000003,1.67,0.0634676862150577,0.10939337926398916,0.0,6.41,6.140000000000001,0.02,0.060954790574932735,0.13104524180967236,0.0
2021-05-21,1438239,56.77000000000001,226.23000000000002,1.67,0.07676717414360171,0.027303153073806284,0.0,5.959999999999999,6.98,0.02,0.0756434704258089,0.03355704697986581,0.0
2021-05-22,1438224,59.56999999999999,227.78,1.67,0.04389576560797879,0.031223770354205368,0.0,6.21,7.180000000000001,0.02,0.043559399587994284,0.038647342995169115,0.0
2021-05-23,1438215,60.31999999999999,229.64000000000001,1.67,0.013287433155955526,0.043269230769231,0.0,6.239999999999999,7.420000000000001,0.02,0.07706711230454204,0.043269230769230706,0.0
2021-05-24,1438199,58.50999999999999,232.25000000000003,1.67,0.017979452847480697,0.11895402495299916,0.0,6.45,7.69,0.02,0.09785839870754373,0.11162790697674414,0.0
2021-05-25,1438178,52.60000000000002,239.21,1.67,0.019999869712632328,0.1212927756653991,0.0,6.359999999999999,8.41,0.02,0.09924463649853403,0.10377358490566041,0.0
2021-05-26,1438157,47.26999999999998,245.59,1.67,0.01589665006665997,0.141104294478528,0.0,6.33,9.07,0.02,0.07122603304748971,0.10900473933649281,0.0
