기간,관내 서울,관내 부산,관내 대구,관내 인천,관내 광주,관내 대전,관내 울산,관내 세종,관내 경기,관내 강원,관내 충북,관내 충남,관내 전북,관내 전남,관내 경북,관내 경남,관내 제주
'21.06 4주차,13843584,5050549,3584229,4294390,2216195,2159902,1753828,410716,17952654,2475184,2261395,3023292,2922718,2713147,4031339,5025594,1161446
'21.07 1주차,13915826,5099535,3607460,4300798,2127515,2184514,1766743,413609,18009763,2501358,2271436,3040977,2934111,2692597,4052470,5054977,1158454
'21.07 2주차,13863796,5035723,3613046,4301793,2297545,2179137,1755278,414817,18006809,2523808,2280060,3052609,2933183,2706395,4052717,5028984,1164440
'21.07 3주차,13333337,5009685,3588347,4138810,2294359,2147087,1758830,411657,17378926,2504545,2262334,3011399,2915284,2715834,4052525,5018553,1140922
'21.07 4주차,13177241,4886437,3514402,4087548,2250038,2087418,1734799,398748,17212133,2393265,2215743,2954197,2839567,2651041,3983862,4941577,1114531
'21.07 5주차,12971142,4834833,3412149,3989257,2159650,2013537,1688564,387788,16838160,2363018,2161255,2874454,2757251,2580874,3880654,4813376,1101831
'21.08 1주차,13242583,4877802,3424476,4036826,2158402,2059371,1614049,396001,17065245,2416134,2160679,2892263,2807670,2611563,3895452,4751494,1127820
'21.08 2주차,13319686,4920535,3495882,4111074,2217757,2088463,1703388,404300,17340680,2450365,2199139,2950228,2848115,2630846,3947999,4891442,1103542
'21.08 3주차,13377158,4897161,3484524,4112479,2213269,2089162,1704407,407337,17384416,2450489,2197323,2951533,2830523,2613173,3931369,4863775,1067112
'21.08 4주차,13529389,4926365,3510294,4162493,2286239,2128328,1740046,410641,17555368,2488267,2216653,2974198,2852313,2656158,3976934,4913499,1090507
'21.09 1주차,13750890,5038810,3560572,4213540,2318324,2180147,1757289,418368,17820057,2517438,2270504,3023082,2901453,2695080,4043401,5031329,1115662
'21.09 2주차,13879672,5137045,3592075,4259091,2322486,2194519,1769627,421279,17973360,2533275,2286866,3038726,2921261,2706077,4098375,5069636,1128490
'21.09 3주차,13742080,5099707,3608836,4241708,2286388,2183010,1758414,413357,17820056,2529197,2275175,3022176,2930081,2703465,4101172,5067290,1081698
'21.09 4주차,12798485,4792594,3351920,3962283,2085259,2005199,1616925,371073,16573839,2319728,2106719,2776899,2694041,2523547,3789823,4697097,1068611
'21.09 5주차,13802421,5135090,3579197,4234627,2299456,2178225,1771994,416918,17836045,2505180,2261646,3014108,2901370,2692757,4068048,5049485,1151216
'21.10 1주차,13670581,5119760,3568203,4196755,2305426,2171373,1766191,414247,17726022,2476874,2266979,3014227,2909108,2706507,4062828,5050725,1163871
'21.10 2주차,13844669,5114240,3555941,4244129,2313276,2176642,1765069,416479,17909337,2504195,2268100,3024122,2901174,2697274,4033997,5032190,1150858
'21.10 3주차,13864558,5133057,3593338,4247748,2331912,2199857,1785925,420899,17946981,2523969,2276441,3040000,2929204,2724274,4082457,5070526,1171295
'21.10 4주차,13837832,5092685,3580968,4236872,2316863,2196099,1770232,418005,17873363,2526493,2272240,3025272,2919852,2720397,4075951,5017116,1169203
'21.11 1주차,14128016,5187854,3663818,4329237,2362917,2238065,1800060,423308,18232220,2574792,2304051,3083600,2983774,2773699,4168030,5113021,1187272
'21.11 2주차,13894702,5118358,3623733,4261158,2326431,2201589,1776544,417170,17944267,2520405,2264211,3023206,2921618,2717665,4104627,5052526,1155549
'21.11 3주차,13830229,5090703,3631027,4246416,2317676,2195691,1770330,417721,17886593,2509804,2262699,3017756,2910086,2706074,4104466,5035365,1162590
'21.11 4주차,13790232,5089494,3650303,4230082,2297340,2179012,1763965,413540,17838489,2481869,2244332,2995037,2891356,2679040,4129982,5005672,1153922
'21.12 1주차,13987739,5128932,3698967,4281703,2330604,2206616,1781774,419662,18080683,2518783,2275281,3029543,2928347,2720055,4171250,5046919,1164388
'21.12 2주차,13615883,5080913,3649913,4172674,2324213,2196895,1765722,417737,17745025,2531430,2265723,3021647,2919804,2720525,4106518,5017133,1161756
'21.12 3주차,13389347,5057683,3633318,4110008,2314645,2176581,1748884,416812,17449071,2489894,2229520,2972118,2876922,2690260,4067526,4965916,1142570
'21.12 4주차,13539247,5012249,3600345,4209729,2261939,2126974,1738528,406048,17575487,2436743,2192623,2922031,2809352,2649460,4028915,4907347,1122060
'21.12 5주차,13373133,4882383,3501071,4134903,2204423,2073912,1706439,394896,17401548,2371596,2147918,2857378,2746642,2612854,3923707,4800572,1111203
'22.01 1주차,13707705,5020050,3597148,4209774,2277573,2140802,1747907,408052,17765571,2407919,2212123,2941919,2828253,2652053,4017947,4925279,1130378
'22.01 2주차,13604173,5002605,3581905,4181603,2252281,2125832,1735394,405712,17548529,2391881,2187251,2902630,2811279,2605045,4001365,4910212,1125269
'22.01 3주차,13607775,5001912,3573383,4170399,2245910,2120541,1733103,403431,17509565,2405108,2181678,2900201,2815818,2619396,4008426,4913169,1129489
'22.01 4주차,13435127,4979789,3523781,4127307,2228142,2091052,1708555,395147,17251889,2403933,2160812,2870539,2803453,2594842,3928769,4882721,1118890
'22.02 1주차,12780485,4749123,3283885,3938896,2083016,1968954,1572852,363602,16368918,2260875,2038166,2689771,2625536,2451995,3594709,4561123,1043707
'22.02 2주차,13825801,5068570,3522109,4205609,2258760,2149725,1717560,412316,17688248,2459595,2209593,2954604,2855482,2632023,3906118,4918984,1107980
'22.02 3주차,13536135,4982934,3458728,4129101,2227816,2115181,1687991,407027,17439986,2426369,2172416,2903434,2794648,2595223,3840534,4837630,1079600
