stdDay,Susceptible,Delta_Infected,Delta_Recovered,Delta_Dead,Delta_alpha,Delta_beta,Delta_gamma,Omicron_Infected,Omicron_Recovered,Omicron_Dead,Omicron_alpha,Omicron_beta,Omicron_gamma
2021-10-04,2613578,488.0,3017.58,4.79,0.11718744207817913,0.15368852459016394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-05,2613521,470.0,3092.58,4.79,0.11740871756384212,0.18723404255319148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-06,2613466,437.0,3180.58,4.79,0.12627747952852691,0.11899313501144165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-07,2613411,440.0,3232.58,4.79,0.17558679059665702,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08,2613334,457.0,3292.58,4.79,0.08562784121604775,0.12253829321663019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-09,2613295,440.0,3348.58,4.79,0.10262021178766131,0.22045454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-10,2613250,388.0,3445.58,4.79,0.07758362666072287,0.15463917525773196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-11,2613220,358.0,3505.58,4.79,0.06726881055453365,0.15921787709497207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-12,2613196,325.0,3562.58,4.79,0.12658726531979056,0.16923076923076924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-13,2613155,311.0,3617.58,4.79,0.14519393008565903,0.17684887459807075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-14,2613110,301.0,3672.58,4.79,0.11334861982853109,0.2558139534883721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-15,2613076,258.0,3749.58,4.79,0.202252129691793,0.1511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-16,2613024,271.0,3788.58,4.79,0.10368283143869685,0.16605166051660517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-17,2612996,254.0,3833.58,4.79,0.07111505502905809,0.11811023622047244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-18,2612978,242.0,3863.58,4.79,0.1741645163437185,0.09090909090909091,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-19,2612936,260.0,3885.58,6.79,0.28948139034168696,0.1576923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-20,2612861,294.0,3926.58,6.79,0.11947193954388367,0.14965986394557823,0.003401360544217687,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-21,2612826,284.0,3970.58,7.79,0.1590175989145119,0.11619718309859155,0.0035211267605633773,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-22,2612781,295.0,4003.58,8.79,0.11907059559546264,0.17627118644067796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-23,2612746,278.0,4055.58,8.79,0.08664245732763523,0.10071942446043165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-24,2612722,274.0,4083.58,8.79,0.05860541214680953,0.06569343065693431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-25,2612706,272.0,4101.58,8.79,0.0737958697858488,0.15441176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-26,2612686,250.0,4143.58,8.79,0.16861009397991186,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27,2612644,217.0,4218.58,8.79,0.189629278705795,0.16129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28,2612603,223.0,4253.58,8.79,0.18903077417923983,0.20179372197309417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-29,2612561,220.0,4298.58,8.79,0.18248718751099366,0.1590909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-30,2612521,225.0,4333.58,8.79,0.24980850807834018,0.10666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-31,2612465,257.0,4357.58,8.79,0.1054488060797359,0.0622568093385214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,2612438,268.0,4373.58,8.79,0.07865023331040018,0.07462686567164178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-02,2612417,269.0,4393.58,8.79,0.11567204654457687,0.15613382899628253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-03,2612386,258.0,4435.58,8.79,0.1517291623576622,0.15891472868217055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-04,2612347,256.0,4476.58,8.79,0.3293593246800674,0.1640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-05,2612263,298.0,4518.58,8.79,0.1178952717914846,0.1342281879194631,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-06,2612228,293.0,4558.58,8.79,0.3220406242625749,0.19112627986348124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-07,2612134,331.0,4614.58,8.79,0.18014595129899658,0.08157099697885196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-08,2612074,363.39999999999964,4641.58,8.79,0.13127062092970246,0.057787561915244964,0.0,1.2,0.0,0.0,0.8030933273712767,0.0,0.0
2021-11-09,2612026,389.9200000000001,4662.58,8.79,0.09175847662777394,0.07950348789495279,0.0,2.16,0.0,0.0,0.33462836893660325,0.0,0.0
2021-11-10,2611990,394.5600000000004,4693.58,8.79,0.08312393163581423,0.09630981346309804,0.0025344687753446854,2.88,0.0,0.0,0.2300601744263952,0.0,0.0
2021-11-11,2611957,388.2300000000005,4731.58,9.79,0.10496039181991673,0.2163665868170927,0.0,3.54,0.0,0.0,0.2325445010343339,0.0,0.0
2021-11-12,2611916,344.8199999999997,4815.58,9.79,0.1008818626934895,0.09860216924772354,0.002900063801403633,4.36,0.0,0.0,0.16118100219613116,0.0,0.0
2021-11-13,2611881,344.47000000000025,4849.58,10.79,0.12118286075911162,0.2699799692280893,0.002903010421807412,5.0600000000000005,0.0,0.0,0.16666211540580192,0.0,0.0
2021-11-14,2611839,292.0500000000002,4942.58,11.79,0.11571029623448437,0.2033898305084732,0.0,5.9,0.0,0.0,0.11571029623448445,0.0,0.0
2021-11-15,2611805,266.3100000000004,5001.98,11.79,0.03359007606790522,0.17843866171003855,0.0,6.58,0.0,0.0,0.02746422632907756,0.0,0.0
2021-11-16,2611796,227.69999999999982,5049.5,11.79,0.11349265775934168,0.15652173913043635,0.0,6.76,0.0,0.0,0.0772287316113863,0.0,0.0
2021-11-17,2611770,217.79999999999927,5085.14,11.79,0.2327416308062774,0.14545454545454728,0.004545454545454562,7.28,0.0,0.0,0.14066801861917816,0.0,0.0
2021-11-18,2611719,235.6199999999999,5116.820000000001,12.78,0.20670652276955395,0.1680672268907502,0.00420168067226891,8.3,0.0,0.0,0.11854494558832245,0.0,0.0
2021-11-19,2611670,243.53999999999996,5156.419999999999,13.77,0.14284865108737546,0.14227642276422992,0.0,9.28,0.0,0.0,0.07573441415408269,0.0,0.0
2021-11-20,2611635,243.53999999999996,5191.07,13.77,0.10611756293027726,0.1707317073170729,0.0,9.98,0.0,0.0,0.052314469901499405,0.0,0.0
2021-11-21,2611609,227.69999999999982,5232.65,13.77,0.16853146747204575,0.14782608695652122,0.0,10.5,0.0,0.0,0.07458622962757004,0.11428571428571428,0.0
2021-11-22,2611570,232.26000000000022,5266.3099999999995,13.77,0.21606362882834462,0.03836218031516338,0.0,10.08,1.2,0.0,0.10160134927047167,0.09523809523809526,0.0
