incDec,stdDay,delta_variants,omicron_variants
30.0,2021-12-18,28.799999999999997,1.2
22.0,2021-12-19,21.119999999999997,0.88
30.0,2021-12-20,24.9,5.1000000000000005
26.0,2021-12-21,21.58,4.42
37.0,2021-12-22,30.709999999999997,6.29
17.0,2021-12-23,14.11,2.89
25.0,2021-12-24,20.75,4.25
15.0,2021-12-25,12.45,2.5500000000000003
28.0,2021-12-26,23.24,4.760000000000001
16.0,2021-12-27,13.28,2.72
6.0,2021-12-28,4.9799999999999995,1.02
33.0,2021-12-29,27.389999999999997,5.61
21.0,2021-12-30,17.43,3.5700000000000003
16.0,2021-12-31,13.28,2.72
23.0,2022-01-01,19.09,3.91
19.0,2022-01-02,15.77,3.2300000000000004
28.0,2022-01-03,11.200000000000001,16.8
18.0,2022-01-04,7.2,10.799999999999999
43.0,2022-01-05,17.2,25.8
19.0,2022-01-06,7.6000000000000005,11.4
10.0,2022-01-07,4.0,6.0
9.0,2022-01-08,3.6,5.3999999999999995
11.0,2022-01-09,4.4,6.6
13.0,2022-01-10,5.2,7.8
15.0,2022-01-11,6.0,9.0
5.0,2022-01-12,2.0,3.0
7.0,2022-01-13,2.8000000000000003,4.2
6.0,2022-01-14,2.4000000000000004,3.5999999999999996
13.0,2022-01-15,5.2,7.8
8.0,2022-01-16,3.2,4.8
12.0,2022-01-17,1.2000000000000002,10.68
3.0,2022-01-18,0.30000000000000004,2.67
13.0,2022-01-19,1.3,11.57
10.0,2022-01-20,1.0,8.9
15.0,2022-01-21,1.5,13.35
17.0,2022-01-22,1.7000000000000002,15.13
27.0,2022-01-23,2.7,24.03
20.0,2022-01-24,2.0,17.8
32.0,2022-01-25,3.2,28.48
53.0,2022-01-26,5.300000000000001,47.17
72.0,2022-01-27,7.2,64.08
44.0,2022-01-28,4.4,39.160000000000004
76.0,2022-01-29,7.6000000000000005,67.64
69.0,2022-01-30,6.9,61.410000000000004
74.0,2022-01-31,0.74,74.0
86.0,2022-02-01,0.86,86.0
122.0,2022-02-02,1.22,122.0
169.0,2022-02-03,1.69,169.0
212.0,2022-02-04,2.12,212.0
248.0,2022-02-05,2.48,248.0
285.0,2022-02-06,2.85,285.0
0.0,2022-02-07,0.0,0.0
751.0,2022-02-08,7.51,751.0
411.0,2022-02-09,4.11,411.0
448.0,2022-02-10,4.48,448.0
476.0,2022-02-11,4.76,476.0
503.0,2022-02-12,5.03,503.0
554.0,2022-02-13,5.54,554.0
508.0,2022-02-14,0.0,508.0
551.0,2022-02-15,0.0,551.0
923.0,2022-02-16,0.0,923.0
882.0,2022-02-17,0.0,882.0
1114.0,2022-02-18,0.0,1114.0
1206.0,2022-02-19,0.0,1206.0
1231.0,2022-02-20,0.0,1231.0
1080.0,2022-02-21,0.0,1080.0
1300.0,2022-02-22,0.0,1300.0
1762.0,2022-02-23,0.0,1762.0
1500.0,2022-02-24,0.0,1500.0
2062.0,2022-02-25,0.0,2062.0
1917.0,2022-02-26,0.0,1917.0
2167.0,2022-02-27,0.0,2167.0
1806.0,2022-02-28,0.0,1806.0
2273.0,2022-03-01,0.0,2273.0
2207.0,2022-03-02,0.0,2207.0
3294.0,2022-03-03,0.0,3294.0
3399.0,2022-03-04,0.0,3399.0
3285.0,2022-03-05,0.0,3285.0
3688.0,2022-03-06,0.0,3688.0
3233.0,2022-03-07,0.0,3233.0
3054.0,2022-03-08,0.0,3054.0
3858.0,2022-03-09,0.0,3858.0
4923.0,2022-03-10,0.0,4923.0
4289.0,2022-03-11,0.0,4289.0
5191.0,2022-03-12,0.0,5191.0
6203.0,2022-03-13,0.0,6203.0
4827.0,2022-03-14,0.0,4778.73
3900.0,2022-03-15,0.0,3861.0
7682.0,2022-03-16,0.0,7605.18
4144.0,2022-03-17,0.0,4102.56
4412.0,2022-03-18,0.0,4367.88
6393.0,2022-03-19,0.0,6329.07
6228.0,2022-03-20,0.0,6165.72
3292.0,2022-03-21,0.0,3259.08
3191.0,2022-03-22,0.0,3159.09
5571.0,2022-03-23,0.0,5515.29
5030.0,2022-03-24,0.0,4979.7
4789.0,2022-03-25,0.0,4741.11
4082.0,2022-03-26,0.0,4041.18
5010.0,2022-03-27,0.0,4959.9
3000.0,2022-03-28,0.0,3000.0
3329.0,2022-03-29,0.0,3329.0
5742.0,2022-03-30,0.0,5742.0
5074.0,2022-03-31,0.0,5074.0
3873.0,2022-04-01,0.0,3873.0
3771.0,2022-04-02,0.0,3771.0
3581.0,2022-04-03,0.0,3581.0
2261.0,2022-04-04,0.0,2261.0
2711.0,2022-04-05,0.0,2711.0
4159.0,2022-04-06,0.0,4159.0
3215.0,2022-04-07,0.0,3215.0
2855.0,2022-04-08,0.0,2855.0
2739.0,2022-04-09,0.0,2739.0
2553.0,2022-04-10,0.0,2553.0
1711.0,2022-04-11,0.0,1711.0
1545.0,2022-04-12,0.0,1545.0
3023.0,2022-04-13,0.0,3023.0
2185.0,2022-04-14,0.0,2185.0
1803.0,2022-04-15,0.0,1803.0
1619.0,2022-04-16,0.0,1619.0
1468.0,2022-04-17,0.0,1468.0
853.0,2022-04-18,0.0,853.0
